City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
309,Acapulco,MX,73.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
310,Galle,LK,80.29,clear sky,6.0367,80.217,Amangalla
311,Trincomalee,LK,80.38,clear sky,8.5711,81.2335,Welcombe Hotel
312,Lakes Entrance,AU,59.16,light rain,-37.8811,147.981,The Esplanade Resort & Spa
313,Mozelos,PT,63.25,scattered clouds,41.8677,-8.3978,Ribeira Collection Hotel by Piamonte Hotels
314,Schwedt,DE,49.57,overcast clouds,53.0596,14.2815,Andersen Hotel Schwedt
315,Carutapera,BR,74.16,moderate rain,-1.195,-46.02,Lidera
316,Mogadishu,SO,85.87,few clouds,2.0371,45.3438,Hotel Juba
318,Haines Junction,CA,30.15,overcast clouds,60.7522,-137.5108,Parkside Inn
320,Kamina,CD,71.37,light rain,-8.7386,24.9906,Guest House Florvia
321,Tolaga Bay,NZ,62.58,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
322,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
323,Bundaberg,AU,72.21,clear sky,-24.85,152.35,Takalvan Motel
324,Zhumadian,CN,59.5,overcast clouds,32.9794,114.0294,Ouyue House Hotel
325,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
326,Naze,JP,65.32,light rain,28.3667,129.4833,Shishime Hotel
327,Herat,AF,55.0,clear sky,34.5,62.0,
328,Sinjar,IQ,65.44,overcast clouds,36.3209,41.8754,زوماني فون 1
329,Felanitx,ES,60.13,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
330,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
332,Kasongo-Lunda,CD,77.83,overcast clouds,-6.4667,16.8167,
333,Rocha,UY,63.34,clear sky,-34.4833,-54.3333,Hotel Arrarte
334,Dingle,PH,77.77,few clouds,10.9995,122.6711,SEGAYA PROPERTY
335,Kamaishi,JP,48.0,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
336,Talcahuano,CL,55.08,clear sky,-36.7167,-73.1167,departamento comodo
337,Brownwood,US,62.96,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
339,Micheweni,TZ,84.07,overcast clouds,-4.9667,39.8333,
340,Laguna,US,52.18,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
341,Freeport,US,41.18,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
342,Pampa,US,38.35,broken clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
344,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Villa Mar Colina
345,Krasnoselkup,RU,31.33,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
346,Lompoc,US,52.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
347,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
348,Nikolsk,RU,30.58,broken clouds,53.7189,46.0712,Гостиница Центральная
349,Shashi,CN,60.6,overcast clouds,30.3072,112.2447,Xingyu Hotel
350,Raudeberg,NO,38.07,light rain,61.9875,5.1352,Nordre Silda.
351,Puri,IN,82.92,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
352,Borger,NL,48.78,overcast clouds,52.9233,6.7931,Roompot Bospark Lunsbergen
353,Fukue,JP,62.62,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
354,Concordia,AR,58.78,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
355,Belebey,RU,33.76,light snow,54.1167,54.1167,"Gostinitsa ""Belebey"""
356,Luau,AO,72.18,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
357,Harlingen,US,77.09,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
358,Tulum,MX,82.65,clear sky,20.2167,-87.4667,Kin Ha Tulum
359,Grindavik,IS,39.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
361,Kavaratti,IN,83.82,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
363,Abha,SA,71.42,few clouds,18.2164,42.5053,Abha Hotel
364,Brae,GB,39.92,overcast clouds,60.3964,-1.353,Busta House Hotel
365,San Policarpo,PH,79.75,clear sky,12.1791,125.5072,Agapita M. Nicart
366,Casino,AU,68.77,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
367,Pak Phanang,TH,83.34,clear sky,8.3511,100.202,Green Park Inn Hotel
368,Dordrecht,NL,55.08,overcast clouds,51.81,4.6736,Bastion Hotel Dordrecht - Papendrecht
370,Maloy,NO,38.93,few clouds,61.9353,5.1136,Torget Hotell
372,Itanhem,BR,86.67,clear sky,-17.1664,-40.33,Hotel Resende
373,Yabrud,SY,53.89,clear sky,33.9674,36.6574,صالة افراح الاندلس
375,Matay,EG,83.61,clear sky,28.419,30.7792,Nag Aespen
376,Saint George,US,50.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
377,Port Augusta,AU,62.58,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
378,Fort Nelson,CA,31.59,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
379,Sept-Iles,CA,36.12,few clouds,50.2001,-66.3821,Comfort Inn
382,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
383,Faya,SA,71.71,clear sky,18.3851,42.4509,املاك خالد الشعشوع
384,Leiyang,CN,66.02,moderate rain,26.4024,112.8591,Dongyang Hotel
